
Blünken, blyoon-ken, 見つめる, 動詞|観察  
Wunken, voon-ken, 同盟者, 名詞|人間関係  

Grüflich, grüf-likh, 緑の, 形容詞|色  
Blülich, blü-likh, 青い, 形容詞|色  
Rölich, rö-likh, 赤い, 形容詞|色  
Wällich, wael-likh, 白い, 形容詞|色  
Schwällich, shvael-likh, 黒い, 形容詞|色  
Glänzlich, glaenz-likh, 明るい, 形容詞|性質  
Dunklich, dunk-likh, 暗い, 形容詞|性質  
Klarlich, klar-likh, 透明な, 形容詞|性質  
Starklich, stark-likh, 強い, 形容詞|性質  
Schwachlich, shvakh-likh, 弱い, 形容詞|性質  

Schnelllich, shnel-likh, 速い, 形容詞|性質  
Langlich, lang-likh, 遅い, 形容詞|性質  
Großlich, grohs-likh, 大きい, 形容詞|大きさ  
Kleinlich, klain-likh, 小さい, 形容詞|大きさ  
Hochlich, hokh-likh, 高い, 形容詞|高さ  
Tieflich, teef-likh, 低い, 形容詞|高さ  
Hartlich, hart-likh, 硬い, 形容詞|性質  
Weichlich, vaikh-likh, 柔らかい, 形容詞|性質  
Warmlich, varm-likh, 暖かい, 形容詞|温度  
Kältlich, kelt-likh, 冷たい, 形容詞|温度  

Altlich, alt-likh, 古い, 形容詞|時間  
Neulich, noi-likh, 新しい, 形容詞|時間  
Schönlich, shöhn-likh, 美しい, 形容詞|外見  
Häßlich, hes-likh, 醜い, 形容詞|外見  
Freulich, froi-likh, 嬉しい, 形容詞|感情  
Traulich, trou-likh, 悲しい, 形容詞|感情  
Zornlich, tsorn-likh, 怒っている, 形容詞|感情  
Ruhlich, ruh-likh, 落ち着いた, 形容詞|感情  
Mutlich, moot-likh, 勇敢な, 形容詞|性格  
Feiglich, faig-likh, 臆病な, 形容詞|性格  

Freundlich, froind-likh, 親切な, 形容詞|性格  
Feindlich, faind-likh, 敵対的な, 形容詞|性格  
Sauberlich, zau-ber-likh, 清潔な, 形容詞|衛生  
Schmutzlich, shmuts-likh, 汚い, 形容詞|衛生  
Reichlich, raikh-likh, 豊かな, 形容詞|経済  
Armlich, arm-likh, 貧しい, 形容詞|経済  
Weitlich, vait-likh, 広い, 形容詞|空間  
Englich, eng-likh, 狭い, 形容詞|空間  
Leichtlich, laikh-tlikh, 軽い, 形容詞|重さ  
Schwerlich, shvair-likh, 重い, 形容詞|重さ  

Giftlich, gift-likh, 有害な, 形容詞|危険  
Heillich, hail-likh, 安全な, 形容詞|安全  
Schnözlich, shnoez-likh, 賢い, 形容詞|知性  
Dummlich, doom-likh, 愚かな, 形容詞|知性  
Lustlich, loost-likh, 面白い, 形容詞|性格  
Langweilich, lang-vai-likh, 退屈な, 形容詞|性格  
Friedlich, freet-likh, 平和な, 形容詞|状態  
Krieglig, kreeg-likh, 戦争好きな, 形容詞|状態  
Feuerlich, foir-likh, 火のような, 形容詞|性質  
Wasserlich, vas-ser-likh, 水のような, 形容詞|性質  

Eislich, ais-likh, 氷のような, 形容詞|性質  
Windlich, vint-likh, 風のような, 形容詞|性質  
Blütlich, blü-tlikh, 花のような, 形容詞|比喩  
Steinlich, shtain-likh, 石のような, 形容詞|比喩  
Mondlich, mond-likh, 月のような, 形容詞|比喩  
Sonnenlich, zon-en-likh, 太陽のような, 形容詞|比喩  
Maglich, mag-likh, 魔法的な, 形容詞|性質  
Natürlich, natyur-likh, 自然な, 形容詞|状態

Häfen, hae-fen, 港, 名詞|場所  
Grufen, groo-fen, 村, 名詞|場所  
Bruken, bru-ken, 街, 名詞|場所  
Träken, trae-ken, 都市, 名詞|場所  
Fällen, fae-len, 森, 名詞|場所  
Bergen, ber-gen, 山, 名詞|場所  
Lüfen, lü-fen, 川, 名詞|場所  
Wralfen, vral-fen, 海, 名詞|場所  
Schlafen, shla-fen, 砂漠, 名詞|場所  
Kröken, kroe-ken, 島, 名詞|場所  

Türen, tü-ren, 家, 名詞|場所  
Gräufen, grao-fen, 庭, 名詞|場所  
Wälken, wael-ken, 広場, 名詞|場所  
Franken, fran-ken, 建物, 名詞|場所  
Dräufen, drao-fen, 道, 名詞|場所  
Pläufen, plao-fen, 橋, 名詞|場所  
Vrachen, vra-chen, 城, 名詞|場所  
Bräufen, brao-fen, 塔, 名詞|場所  
Sproffen, shpro-fen, 市場, 名詞|場所  
Märken, mar-ken, 店, 名詞|場所  

Kräufen, kroy-fen, 洞窟, 名詞|場所  
Zärken, tsar-ken, 学校, 名詞|場所  
Hräufen, hrao-fen, 広間, 名詞|場所  
Trinken, trin-ken, 酒場, 名詞|場所  
Schülen, shü-len, 聖堂, 名詞|場所
Stäntmet, shtaenz-met, 金属, 名詞|素材  
Hozen, hol-tsen, 木材, 名詞|素材  
Steinmar, shtain-mar, 石材, 名詞|素材  
Kläfen, klae-fen, 布, 名詞|素材  
Gläsen, glae-sen, ガラス, 名詞|素材  
Leqren, led-ren, 革, 名詞|素材  
Wallen, vol-len, 羊毛, 名詞|素材  
Köpflen, köpf-len, 骨, 名詞|素材  
Schälen, shae-len, 貝殻, 名詞|素材  
Seifenmet, sai-fen-met, 石鹸素材, 名詞|素材  

Tonzern, ton-tsen, 粘土, 名詞|素材  
Bräuchen, brae-chen, 紙, 名詞|素材  
Gummirän, gum-mi-raen, ゴム, 名詞|素材  
Kohlestän, ko-le-shtaen, 石炭, 名詞|素材  
Ölfarn, öl-farn, 油, 名詞|素材  
Zückren, tsük-ren, 砂糖, 名詞|素材  
Salzen, sal-tsen, 塩, 名詞|素材  
Schmiedstän, shmeed-shtaen, 鉄, 名詞|素材  
Kupfrän, kup-fraen, 銅, 名詞|素材  
Silbern, sil-bern, 銀, 名詞|素材  

Goldren, gold-ren, 金, 名詞|素材  
Plastörn, plas-toern, プラスチック, 名詞|素材  
Betön, be-toen, コンクリート, 名詞|素材  
Brikren, brik-ren, レンガ, 名詞|素材  
Marmärn, mar-maern, 大理石, 名詞|素材  
Kristäl, kris-tael, 水晶, 名詞|素材  
Schwämren, shvaem-ren, 海綿, 名詞|素材  
Korklen, kork-len, コルク, 名詞|素材  
Bambüsen, bam-bü-sen, 竹, 名詞|素材  
Basaltlen, ba-salt-len, 玄武岩, 名詞|素材  

Aschlen, ash-len, 灰, 名詞|素材  
Erden, er-den, 土, 名詞|素材  
Tonmet, ton-met, 陶磁器, 名詞|素材  
Messinglen, mes-sing-len, 真鍮, 名詞|素材  
Nickeln, nik-keln, ニッケル, 名詞|素材  
Chromlen, khröm-len, クロム, 名詞|素材  
Stänzium, shtaen-tsium, 架空金属, 名詞|素材  
Fasren, fas-ren, 繊維, 名詞|素材  
Harzen, har-tsen, 樹脂, 名詞|素材  
Kieslen, kies-len, 砂利, 名詞|素材  

Brätken, braet-ken, パン, 名詞|食べ物  
Mäsen, kae-sen, チーズ, 名詞|食べ物  
Würstlen, vürst-len, ソーセージ, 名詞|食べ物  
Fleischken, flaish-ken, 肉, 名詞|食べ物  
Fischlen, fish-len, 魚, 名詞|食べ物  
Eiren, ai-ren, 卵, 名詞|食べ物  
Gemüsken, ge-müs-ken, 野菜, 名詞|食べ物  
Früchtlen, frücht-len, 果物, 名詞|食べ物  
Süpfen, süp-fen, スープ, 名詞|食べ物  
Reisken, rais-ken, 米, 名詞|食べ物  

Kartofflen, kar-toff-len, じゃがいも, 名詞|食べ物  
Nüssen, nü-ssen, ナッツ, 名詞|食べ物  
Schokolän, sho-ko-laen, チョコレート, 名詞|食べ物  
Kuchenken, koo-chen-ken, ケーキ, 名詞|食べ物  
Plätzken, plaets-ken, クッキー, 名詞|食べ物  
Honigen, ho-ni-gen, はちみつ, 名詞|食べ物  
Marmelän, mar-me-laen, ジャム, 名詞|食べ物  
Salätken, za-laet-ken, サラダ, 名詞|食べ物  
Pizzafern, pit-za-fern, ピザ, 名詞|食べ物  
Nudelnken, noo-deln-ken, 麺, 名詞|食べ物  

Butterken, but-ter-ken, バター, 名詞|食べ物  
Zuckerkän, tsuk-ker-kaen, 砂糖菓子, 名詞|食べ物  
Früchtenken, früch-ten-ken, フルーツ盛り, 名詞|食べ物  
Gebäcken, ge-bae-ken, 焼き菓子, 名詞|食べ物  
Steaklen, stek-len, ステーキ, 名詞|食べ物  
Curryken, kur-ri-ken, カレー, 名詞|食べ物  
Suppenlen, sup-pen-len, 汁物, 名詞|食べ物  
Brotchen, broet-khen, 小型パン, 名詞|食べ物  
Schnitzlen, shnits-len, カツレツ, 名詞|食べ物  
Obstlen, obst-len, 果物類, 名詞|食べ物  

Wässern, vaes-sern, 水, 名詞|飲み物  
Bierken, bier-ken, ビール, 名詞|飲み物  
Weinken, vain-ken, ワイン, 名詞|飲み物  
Kafflen, kaf-len, コーヒー, 名詞|飲み物  
Tän, taen, お茶, 名詞|飲み物  

Ein, ain, 一, 数詞|数  
Zwi, tsvi, 二, 数詞|数  
Dri, dri, 三, 数詞|数  
Ver, fir, 四, 数詞|数  
Fün, fuen, 五, 数詞|数  
Sechs, zeks, 六, 数詞|数  
Siben, zi-ben, 七, 数詞|数  
Acht, aht, 八, 数詞|数  
Neun, noyn, 九, 数詞|数  
Zehn, tsehn, 十, 数詞|数  

Elf, elf, 十一, 数詞|数  
Zwölf, tsvoelf, 十二, 数詞|数  
Grust, grast, 百, 数詞|数  
Vizehn, fi-tsehn, 千, 数詞|数  
Fünehn, fuenhn, 万, 数詞|数 

Juichän, juihyean, ジュース, 飲み物|甘い
Sparklüschen, sparklueshen, 炭酸飲料, 飲み物|ピリピリ

bantche, bant-che, 連邦, 国号|構成語  
Repchkan, rep-ch-kan, 共和国, 国号|構成語  
Kaisrön, kai-srön, 帝国, 国号|構成語  
Konfräk, kon-fräk, 王国, 国号|構成語  
Freistäk, frai-shtaek, 自由国, 国号|構成語  
Sozialprän, zo-tsial-praen, 社会主義国, 国号|構成語  
Dempräk, dem-praek, 民主国, 国号|構成語  
Bundshüf, bunt-shüf, 連邦州, 国号|構成語  
Föderäk, fö-de-raek, 連邦体, 国号|構成語  
Volksrän, folks-raen, 人民国, 国号|構成語  
reiser, rai-ser, 王国（古風）, 国号|構成語  
Unionsfälk, uni-ons-fae-lk, 連合国, 国号|構成語  
Großkän, grohs-kaen, 大国, 国号|構成語  
Kleinstänz, klain-shtaenz, 小国, 国号|構成語  
Ostprän, ost-praen, 東方国, 国号|構成語  
Westprän, vest-praen, 西方国, 国号|構成語  
Nornkän, norn-kaen, 北方国, 国号|構成語  
Swrkän, swr-kaen, 南方国, 国号|構成語  
Mittelkän, mit-tel-kaen, 中央国, 国号|構成語  
Inselstänz, in-sel-shtaenz, 島国, 国号|構成語  

hasch, ha-sh, 〜は, 助詞|主題  
rosch, ro-sh, 〜を, 助詞|目的語  
nisch, ni-sh, 〜に, 助詞|方向・場所  
vonch, fon-ch, 〜の, 助詞|所有  
durken, dur-ken, 〜で, 助詞|手段・場所  
auken, au-ken, 〜から, 助詞|起点  
bisch, bi-sh, 〜まで, 助詞|終点  
zehnken, tsehn-ken, 〜へ, 助詞|目的地  
glänk, glaenk, 〜より, 助詞|比較  
höker, hoeker, 〜よりも, 助詞|比較強調  
söfen, sö-fen, 〜と, 助詞|共同  
draufen, drau-fen, 〜や, 助詞|列挙  
blosch, blo-sh, 〜だけ, 助詞|限定  
müsken, müs-ken, 〜でも, 助詞|逆接  
treken, tre-ken, 〜ので, 助詞|理由  
wofen, vo-fen, 〜から（理由）, 助詞|理由  
hürken, hür-ken, 〜もし, 助詞|仮定  
lenk, lenk, 〜が, 助詞|主語マーク  
däuf, daeu-f, 〜しか, 助詞|制限  
klüfen, klü-fen, 〜つつ, 助詞|同時進行  

Est, est, 東, 方角|方向  
Wisch, visch, 西, 方角|方向  
Norn, norn, 北, 方角|方向  
Swar, swar, 南, 方角|方向

Holundken, ho-lund-ken, セイヨウニワトコ（接骨木）, 名詞|植物  
Wärzelken, vaer-tsel-ken, ワラビ, 名詞|植物  
Röslen, roes-len, バラ, 名詞|植物  
Lindken, lind-ken, 菩提樹, 名詞|植物  
Eichken, aich-ken, オーク, 名詞|植物  
Birkenlen, bir-ken-len, シラカバ, 名詞|植物  
Ahornken, a-horn-ken, カエデ, 名詞|植物  
Haselnken, ha-sel-nken, ハシバミ, 名詞|植物  
Buchlen, buh-klen, ブナ, 名詞|植物  
Weidken, vaid-ken, ヤナギ, 名詞|植物  

Kastanlen, kas-tan-len, クリ, 名詞|植物  
Ulmenken, ul-men-ken, ニレ, 名詞|植物  
Eibenken, ei-ben-ken, イチイ, 名詞|植物  
Pappelken, pap-pel-ken, ポプラ, 名詞|植物  
Zedernken, tse-dern-ken, ヒマラヤスギ, 名詞|植物  
Lorbeeren, lor-bee-ren, ローレル, 名詞|植物  
Thymken, tühm-ken, タイム, 名詞|植物  
Rosmärlen, rosm-aer-len, ローズマリー, 名詞|植物  
Lavänzlen, la-vaentz-len, ラベンダー, 名詞|植物  
Salbeiken, sal-bai-ken, セージ, 名詞|植物  

Melissenken, me-lis-sen-ken, レモンバーム, 名詞|植物  
Kamillken, ka-mil-ken, カモミール, 名詞|植物  
Brennessken, bren-nes-ken, イラクサ, 名詞|植物  
Kleeblen, klee-blen, クローバー, 名詞|植物  
Schachtkren, shacht-kren, スギナ, 名詞|植物  
Mohnken, mohn-ken, ケシ, 名詞|植物  
Schneeglöckken, shnee-glöck-ken, スノードロップ, 名詞|植物  
Veilchenken, fai-lchen-ken, スミレ, 名詞|植物  
Gänseblümken, gaen-se-blüm-ken, ヒナギク, 名詞|植物  
Sonnenblümken, zon-nen-blüm-ken, ヒマワリ, 名詞|植物  

Kernplat, kern-plat, カーネル, 名詞|IT  
Betriebken, be-trieb-ken, OS（オペレーティングシステム）, 名詞|IT  
Dateiblät, da-tai-blaet, ファイル, 名詞|IT  
Ordnerken, ord-ner-ken, フォルダ, 名詞|IT  
Netzwerklen, netz-verk-len, ネットワーク, 名詞|IT  
Prozässlen, pro-tsaess-len, プロセス, 名詞|IT  
Treiberken, trai-ber-ken, ドライバ, 名詞|IT  
Schnittstellken, schnitt-shtell-ken, インターフェース, 名詞|IT  
Grafkartenken, graf-kar-ten-ken, グラフィックボード, 名詞|IT  
Hauptspeichlen, haupt-shpaich-len, メインメモリ, 名詞|IT  

Festplattenken, fest-plat-ten-ken, ハードディスク, 名詞|IT  
Sicherheitsmodül, si-cher-heits-mo-duel, セキュリティモジュール, 名詞|IT  
Programmlen, pro-gram-len, プログラム, 名詞|IT  
Befehlszän, be-fehls-tsaen, コマンド, 名詞|IT  
Virtuälkern, vir-tu-ael-kern, 仮想マシン, 名詞|IT  
Netzschutzken, netz-shuts-ken, ファイアウォール, 名詞|IT  
Cloudwerk, klau-d-verk, クラウド, 名詞|IT  
Bugsken, bugs-ken, バグ, 名詞|IT  
Patchlen, patch-len, パッチ, 名詞|IT  
Kompilken, kom-pil-ken, コンパイラ, 名詞|IT  
Vortegsch 曇り forutehi_shu
Vorteg 雨 forutehi
Sunne 晴れ san
Brustken, brust-ken, 胸, 名詞|身体  
Bauchlen, bauch-len, 腹, 名詞|身体  
Rückenlen, rük-ken-len, 背中, 名詞|身体  
Armken, arm-ken, 腕, 名詞|身体  
Handlen, hant-len, 手, 名詞|身体  
Fingren, fing-ren, 指, 名詞|身体  
Beinlen, bain-len, 脚, 名詞|身体  
Kniänken, kni-aen-ken, 膝, 名詞|身体  
Fußlen, fuus-len, 足, 名詞|身体  
Herzenken, her-tsen-ken, 心臓, 名詞|身体  

Lungenstuc, lun-gen-stuc, 肺, 名詞|臓器  
Lebernstuc, le-bern-stuc, 肝臓, 名詞|臓器  
Nierenstuc, ni-ren-stuc, 腎臓, 名詞|臓器  
Därmstuc, daerm-stuc, 腸, 名詞|臓器  
Magenstuc, ma-gen-stuc, 胃, 名詞|臓器  
Blasenstuc, bla-sen-stuc, 膀胱, 名詞|臓器  
Hirnstuc, hirn-stuc, 脳, 名詞|臓器  
Milzenstuc, mil-tsen-stuc, 脾臓, 名詞|臓器  
